time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/loss,train/std,train/learning_rate,train/approx_kl,train/n_updates,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
29,50176,1716,98,-0.025915203674230725,0.010996494704158977,-1.052128791809082,0.2,-43.49817454814911,-0.026674555614590645,0.9868986010551453,0.0004092704424510632,0.017858883,1552,0.232421875,1257.0,-2.3246752051282056
29,50688,1716,99,-0.027077755497884937,0.005037402443122119,0.006406605243682861,0.2,-43.503064036369324,-0.038911059498786926,0.9855994582176208,0.0004092704424510632,0.015681064,1568,0.2265625,1257.0,-2.32426745
29,51200,1716,100,-0.014917212392902002,0.30228582699783146,0.21598076820373535,0.2,-43.46698975563049,0.03541666269302368,0.9850980639457703,0.0004092704424510632,0.0134606445,1584,0.1025390625,1257.0,-2.32426745
30,51712,1715,101,-0.023529122307081707,0.0123268591996748,-3.974870204925537,0.2,-43.46253263950348,-0.01448308490216732,0.9855643510818481,0.0004092704424510632,0.017782163,1600,0.2239990234375,1257.0,-2.321028219512195
30,52224,1715,102,-0.011870480462675914,0.37050890922546387,0.1447567343711853,0.2,-43.47260856628418,0.04557781666517258,0.9851064085960388,0.0004092704424510632,0.012642216,1616,0.0567626953125,1257.0,-2.321028219512195
30,52736,1715,103,-0.03212766069918871,0.010633748956024647,-1.154165506362915,0.2,-43.448790550231934,-0.030904920771718025,0.9849153161048889,0.0004092704424510632,0.021343753,1632,0.275146484375,1257.0,-2.321028219512195
31,53248,1714,104,-0.020889700535917655,0.006029234471498057,0.10476541519165039,0.2,-43.44567096233368,-0.0346418134868145,0.984529435634613,0.0004092704424510632,0.013295129,1648,0.2015380859375,1257.0,-2.3166384047619046
31,53760,1714,105,-0.01301456343207974,0.27206804882735014,0.33564895391464233,0.2,-43.439106941223145,0.038769207894802094,0.9847325086593628,0.0004092704424510632,0.010032581,1664,0.070556640625,1257.0,-2.3166384047619046
31,54272,1714,106,-0.02837435777473729,0.015666190040064976,-5.498234272003174,0.2,-43.43608331680298,-0.037581972777843475,0.9841711521148682,0.0004092704424510632,0.018960766,1680,0.250244140625,1257.0,-2.318066023255814
31,54784,1713,107,-0.015585912100505084,0.4179826125036925,0.09371095895767212,0.2,-43.41634654998779,0.05870494246482849,0.9840080738067627,0.0004092704424510632,0.014001675,1696,0.0960693359375,1257.0,-2.318066023255814
