time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/value_loss,train/std,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/clip_range,train/clip_fraction,train/learning_rate,train/loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
1917,86528,22,5,0.2384844075422734,0.9625265002250671,2688,-0.012759490986354649,0.012324115,-42.715062737464905,0.2,0.075439453125,0.0004092704424510632,0.041801922023296356,0.20306265354156494,-2.4617277142857152,1223.0
1916,87040,23,6,0.01587597881734837,0.9626097083091736,2704,-0.024674200627487153,0.0204673,-42.71491754055023,0.2,0.2269287109375,0.0004092704424510632,-0.030992360785603523,-5.653281211853027,-2.4614146056338035,1223.0
1915,87552,24,6,0.32672127545811236,0.9627991318702698,2720,-0.01544563818606548,0.014248768,-42.71371650695801,0.2,0.146240234375,0.0004092704424510632,0.08042760193347931,0.0936121940612793,-2.4614146056338035,1223.0
1915,88064,25,6,0.008559849229641259,0.9621468186378479,2736,-0.021658890676917508,0.015821517,-42.70819294452667,0.2,0.233642578125,0.0004092704424510632,-0.03426637873053551,-4.783106803894043,-2.461817736111111,1223.0
1916,88576,26,6,0.3101015859283507,0.9615300297737122,2752,-0.018450438336003572,0.013324048,-42.685662150382996,0.2,0.1556396484375,0.0004092704424510632,0.045962586998939514,0.12242633104324341,-2.461817736111111,1223.0
1917,89088,27,7,0.01615837003919296,0.9633609056472778,2768,-0.026666620484320447,0.016994897,-42.69486856460571,0.2,0.227294921875,0.0004092704424510632,-0.030169960111379623,-0.28539788722991943,-2.461817736111111,1223.0
1916,89600,28,7,0.004437369389052037,0.9647071957588196,2784,-0.02829022974765394,0.019811204,-42.76007962226868,0.2,0.2919921875,0.0004092704424510632,-0.024547390639781952,-1.1926851272583008,-2.461243383561644,1223.0
1915,90112,29,7,0.4012719613965601,0.9648033380508423,2800,-0.016895937143999618,0.017170483,-42.78319454193115,0.2,0.1234130859375,0.0004092704424510632,0.07288013398647308,0.14470434188842773,-2.461243383561644,1223.0
1914,90624,30,8,0.011064709309721366,0.9641892313957214,2816,-0.023528442150563933,0.019441605,-42.77139449119568,0.2,0.2384033203125,0.0004092704424510632,-0.024471424520015717,-3.983644485473633,-2.4588508783783785,1223.0
1911,91136,31,8,0.29480258096009493,0.9643064737319946,2832,-0.018704405723838136,0.017765762,-42.76072585582733,0.2,0.13427734375,0.0004092704424510632,0.03197086229920387,0.13293790817260742,-2.4588508783783785,1223.0
1909,91648,32,8,0.017183797986945137,0.965473473072052,2848,-0.02235021602245979,0.016219351,-42.77601170539856,0.2,0.2154541015625,0.0004092704424510632,-0.03012550249695778,-2.1053264141082764,-2.4588508783783785,1223.0
1908,92160,33,8,0.0029917115534772165,0.9674255847930908,2864,-0.025924381334334612,0.014590101,-42.83546566963196,0.2,0.2274169921875,0.0004092704424510632,-0.035555850714445114,-0.11637794971466064,-2.4575747333333333,1223.0
1907,92672,34,9,0.2599293701350689,0.9678193926811218,2880,-0.020461440057260916,0.015476079,-42.877944231033325,0.2,0.126708984375,0.0004092704424510632,0.03450793772935867,0.12741488218307495,-2.4575747333333333,1223.0
1906,93184,35,9,0.0157336891425075,0.9692134857177734,2896,-0.017413769164704718,0.014059057,-42.89648771286011,0.2,0.15625,0.0004092704424510632,-0.031372807919979095,-8.575892448425293,-2.457506302631579,1223.0
1905,93696,36,9,0.4187846255954355,0.9692026376724243,2912,-0.022135347870062105,0.019662548,-42.929357290267944,0.2,0.179443359375,0.0004092704424510632,0.09161850810050964,0.05118781328201294,-2.457506302631579,1223.0
1906,94208,37,9,0.004911838506814092,0.9690401554107666,2928,-0.02270220371428877,0.014192089,-42.91714584827423,0.2,0.2005615234375,0.0004092704424510632,-0.03447617590427399,-3.165982723236084,-2.455789805194805,1223.0
1906,94720,38,10,0.35818021139129996,0.9690578579902649,2944,-0.016153431410202757,0.016170211,-42.91750717163086,0.2,0.1029052734375,0.0004092704424510632,0.09141188859939575,0.15690088272094727,-2.455789805194805,1223.0
1907,95232,39,10,0.02122291919658892,0.9688547253608704,2960,-0.02563818613998592,0.021889517,-42.91512739658356,0.2,0.254150390625,0.0004092704424510632,-0.017423279583454132,-1.2003183364868164,-2.455789805194805,1223.0
1907,95744,40,10,0.003618615541199688,0.9700462222099304,2976,-0.021081667888211086,0.013125292,-42.918498158454895,0.2,0.1968994140625,0.0004092704424510632,-0.016729773953557014,-1.2345597743988037,-2.454583282051282,1223.0
1907,96256,41,11,0.30211044917814434,0.970215380191803,2992,-0.014944051596103236,0.0119645875,-42.94432866573334,0.2,0.1055908203125,0.0004092704424510632,0.034513551741838455,0.1574167013168335,-2.454583282051282,1223.0
1907,96768,42,11,0.027262394782155752,0.9714275002479553,3008,-0.026149447556235828,0.017456535,-42.947402477264404,0.2,0.2166748046875,0.0004092704424510632,-0.038071159273386,-3.943206787109375,-2.4555796708860758,1223.0
1906,97280,43,11,0.32879712153226137,0.972048282623291,3024,-0.014984278139309026,0.017870506,-42.992374300956726,0.2,0.100830078125,0.0004092704424510632,0.03211895003914833,0.1256917119026184,-2.4555796708860758,1223.0
1904,97792,44,11,0.008783007244346663,0.972180187702179,3040,-0.022395349020371214,0.016847815,-42.99961519241333,0.2,0.21826171875,0.0004092704424510632,-0.022384822368621826,-3.567351818084717,-2.4555796708860758,1223.0
1902,98304,45,12,0.003775173769099638,0.9743173122406006,3056,-0.022441814217017964,0.017563406,-43.02601397037506,0.2,0.224853515625,0.0004092704424510632,-0.02447960525751114,0.18231546878814697,-2.456309,1223.0
1901,98816,46,12,0.2817473355680704,0.9747545123100281,3072,-0.021811742248246446,0.021460477,-43.07654082775116,0.2,0.12353515625,0.0004092704424510632,0.10044694691896439,0.13750463724136353,-2.456309,1223.0
1900,99328,47,12,0.03809135651681572,0.9731392860412598,3088,-0.02541201640269719,0.018794326,-43.05695927143097,0.2,0.206787109375,0.0004092704424510632,-0.027948902919888496,-3.975494384765625,-2.455784987654321,1223.0
1900,99840,48,12,0.4033784228377044,0.9724935293197632,3104,-0.02448373539664317,0.019411467,-43.0110160112381,0.2,0.15380859375,0.0004092704424510632,0.06328368932008743,0.11222898960113525,-2.455784987654321,1223.0
1899,100352,49,13,0.00923792460525874,0.9716834425926208,3120,-0.022616555186687037,0.016453478,-42.99548828601837,0.2,0.19482421875,0.0004092704424510632,-0.024128934368491173,-3.976661205291748,-2.4559719512195124,1223.0
1900,100864,50,13,0.5420600897632539,0.970756471157074,3136,-0.01752267498522997,0.015781254,-42.96473526954651,0.2,0.104248046875,0.0004092704424510632,0.08489179611206055,0.12782996892929077,-2.4559719512195124,1223.0
1901,101376,51,13,0.006504041040898301,0.9718644022941589,3152,-0.024229170056059957,0.015438089,-42.96362495422363,0.2,0.22607421875,0.0004092704424510632,-0.029273690655827522,-0.9371297359466553,-2.4559719512195124,1223.0
1900,101888,52,14,0.004575045270030387,0.9715911149978638,3168,-0.026546997774858028,0.024831742,-42.98804271221161,0.2,0.2857666015625,0.0004092704424510632,-0.03275581821799278,-0.10083591938018799,-2.455001578313253,1223.0
1901,102400,53,14,0.3366796048358083,0.9714775085449219,3184,-0.016331425656971987,0.016020203,-42.97443187236786,0.2,0.089599609375,0.0004092704424510632,0.04134606570005417,0.14389753341674805,-2.455001578313253,1223.0
1900,102912,54,14,0.01915406750049442,0.972754955291748,3200,-0.026516079873545095,0.017643757,-42.99175977706909,0.2,0.228271484375,0.0004092704424510632,-0.033077385276556015,-6.635014533996582,-2.4549033214285716,1223.0
1899,103424,55,14,0.43787215813063085,0.9733150005340576,3216,-0.016326872835634276,0.015461808,-43.030797123909,0.2,0.1361083984375,0.0004092704424510632,0.11892194300889969,0.05879944562911987,-2.4549033214285716,1223.0
1899,103936,56,15,0.004449657040822785,0.973590612411499,3232,-0.02524065424222499,0.018857818,-43.040995717048645,0.2,0.24658203125,0.0004092704424510632,-0.04119088500738144,-4.0939717292785645,-2.4549033214285716,1223.0
1898,104448,57,15,0.004860566397837829,0.9701663851737976,3248,-0.02912209864007309,0.023334526,-43.003915667533875,0.2,0.27490234375,0.0004092704424510632,-0.04375440999865532,0.3904252052307129,-2.453801423529412,1223.0
1898,104960,58,15,0.17787726549431682,0.9688092470169067,3264,-0.024043364988756366,0.031469088,-42.91345763206482,0.2,0.2197265625,0.0004092704424510632,0.017469104379415512,0.25839459896087646,-2.453801423529412,1223.0
1899,105472,59,15,0.005839133023982868,0.9672396183013916,3280,-0.02917257354420144,0.01831761,-42.87539529800415,0.2,0.247314453125,0.0004092704424510632,-0.039125919342041016,-4.990572452545166,-2.4527023720930234,1223.0
1899,105984,60,16,0.5494554184842855,0.9668885469436646,3296,-0.02101387843140401,0.016145844,-42.83097004890442,0.2,0.1641845703125,0.0004092704424510632,0.084020234644413,0.0774616003036499,-2.4527023720930234,1223.0
1900,106496,61,16,0.012604247356648557,0.9656926393508911,3312,-0.029365377529757097,0.024519024,-42.809970021247864,0.2,0.2689208984375,0.0004092704424510632,-0.03826150670647621,-5.521731376647949,-2.4521303563218395,1223.0
1899,107008,62,16,0.5780815565958619,0.9651912450790405,3328,-0.012634261278435588,0.011373222,-42.77432191371918,0.2,0.0679931640625,0.0004092704424510632,0.1385531723499298,0.10507690906524658,-2.4521303563218395,1223.0
1900,107520,63,16,0.007376579800620675,0.964518666267395,3344,-0.020888125043711625,0.013023435,-42.7592214345932,0.2,0.189208984375,0.0004092704424510632,-0.026146113872528076,-0.6105861663818359,-2.4521303563218395,1223.0
1899,108032,64,17,0.004238227185851429,0.9659619331359863,3360,-0.028515775440610014,0.019271223,-42.76139712333679,0.2,0.265380859375,0.0004092704424510632,-0.04022497683763504,0.028706014156341553,-2.452553261363636,1223.0
1899,108544,65,17,0.40116183436475694,0.9661984443664551,3376,-0.016566884478379507,0.015252788,-42.79373288154602,0.2,0.085693359375,0.0004092704424510632,0.04972966015338898,0.16011685132980347,-2.452553261363636,1223.0
1898,109056,66,17,0.030413706990657374,0.9671922326087952,3392,-0.022702941263560206,0.01819082,-42.80167031288147,0.2,0.208984375,0.0004092704424510632,-0.03169199451804161,-7.657685279846191,-2.453377662921348,1223.0
1898,109568,67,18,0.565477879717946,0.9673795104026794,3408,-0.017221571746631525,0.016128885,-42.82864952087402,0.2,0.2215576171875,0.0004092704424510632,0.053746238350868225,0.03804051876068115,-2.453377662921348,1223.0
1898,110080,68,18,0.009212767145072576,0.9677003622055054,3424,-0.024554921896196902,0.023110239,-42.834238052368164,0.2,0.25634765625,0.0004092704424510632,-0.036596257239580154,-4.790759086608887,-2.4544636444444445,1223.0
1898,110592,69,18,0.599118837621063,0.9678455591201782,3440,-0.01840063781128265,0.014752415,-42.84896183013916,0.2,0.06396484375,0.0004092704424510632,0.1536661982536316,0.11486238241195679,-2.4544636444444445,1223.0
1898,111104,70,18,0.010610112338326871,0.9655037522315979,3456,-0.026544143620412797,0.019197602,-42.82159745693207,0.2,0.2593994140625,0.0004092704424510632,-0.036291223019361496,-0.10339093208312988,-2.4544636444444445,1223.0
