time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/entropy_loss,train/explained_variance,train/clip_fraction,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/approx_kl,train/loss,train/std,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
221184,55,1271,138,-39.82071399688721,3.0517578125e-05,0.2501220703125,0.0029031351732555777,6896,0.0004092704424510632,0.2,0.019646961,-0.03489694371819496,0.883228600025177,-0.026930486630590167,-2.03514232,1223.0
221696,55,1271,139,-39.76644217967987,1.0132789611816406e-06,0.2774658203125,0.0024393375642830506,6912,0.0004092704424510632,0.2,0.02096644,-0.043546248227357864,0.8815473318099976,-0.03317030577454716,-2.0331164899999994,1223.0
222208,56,1271,140,-39.69353377819061,2.1457672119140625e-06,0.2457275390625,0.1612613182514906,6928,0.0004092704424510632,0.2,0.02038166,0.031189288944005966,0.8788810968399048,-0.029586132295662537,-2.0331164899999994,1223.0
222720,56,1271,141,-39.612714767456055,1.2159347534179688e-05,0.23876953125,0.0011305037969577825,6944,0.0004092704424510632,0.2,0.018432416,-0.030809838324785233,0.8781448602676392,-0.02186962924315594,-2.02915748,1223.0
223232,57,1271,142,-39.61458444595337,2.384185791015625e-06,0.245361328125,0.1519064367748797,6960,0.0004092704424510632,0.2,0.021227073,0.04500473663210869,0.8784446716308594,-0.026610772241838276,-2.02915748,1223.0
223744,57,1271,143,-39.596482038497925,-4.291534423828125e-06,0.24365234375,0.0014745051394129405,6976,0.0004092704424510632,0.2,0.017599303,-0.0297841913998127,0.8773614764213562,-0.02220731071429327,-2.02915748,1223.0
224256,57,1271,144,-39.560468792915344,-1.1682510375976562e-05,0.2171630859375,0.0023674945514358114,6992,0.0004092704424510632,0.2,0.014984893,-0.020154541358351707,0.8773319721221924,-0.02153069552150555,-2.0258256799999996,1223.0
224768,58,1271,145,-39.56304097175598,1.6093254089355469e-06,0.2374267578125,0.1574480754788965,7008,0.0004092704424510632,0.2,0.016802525,0.04697787016630173,0.8767278790473938,-0.025329791969852522,-2.0258256799999996,1223.0
225280,58,1271,146,-39.55380320549011,-4.1365623474121094e-05,0.2208251953125,0.0012879577152489219,7024,0.0004092704424510632,0.2,0.016391663,-0.0356808677315712,0.8775728344917297,-0.021901252985117026,-2.0234708199999996,1223.0
225792,59,1271,147,-39.59335672855377,2.0265579223632812e-06,0.2843017578125,0.157299701590091,7040,0.0004092704424510632,0.2,0.025867954,0.032563015818595886,0.8786799311637878,-0.026165288174524903,-2.0234708199999996,1223.0
226304,0,3904,1,-39.62788164615631,-4.2319297790527344e-05,0.249755859375,0.0011044071579817683,7056,0.0004092704424510632,0.2,0.01720165,-0.03914826363325119,0.879705011844635,-0.027845997887197882,-2.02064273,1223.0
226816,0,1924,2,-39.634647250175476,2.086162567138672e-06,0.2335205078125,0.14693163614720106,7072,0.0004092704424510632,0.2,0.017572071,0.03927917033433914,0.8786263465881348,-0.023215349472593516,-2.02064273,1223.0
227328,0,1641,3,-39.57049858570099,7.069110870361328e-05,0.224609375,0.002807952947478043,7088,0.0004092704424510632,0.2,0.016392354,-0.02934749610722065,0.8766700029373169,-0.025182129844324663,-2.02064273,1223.0
227840,1,1532,4,-39.52603352069855,1.6391277313232422e-05,0.2689208984375,0.0019337112062203232,7104,0.0004092704424510632,0.2,0.026288413,-0.03611946851015091,0.8762147426605225,-0.02872521901736036,-2.01774598,1223.0
228352,1,1472,5,-39.50799059867859,9.357929229736328e-06,0.2291259765625,0.15478306636214256,7120,0.0004092704424510632,0.2,0.018935595,0.041516661643981934,0.8751286864280701,-0.024129047800670378,-2.01774598,1223.0
228864,2,1438,6,-39.465935945510864,3.540515899658203e-05,0.2733154296875,0.0011574325453693746,7136,0.0004092704424510632,0.2,0.020268064,-0.040976110845804214,0.8739776015281677,-0.025624594156397507,-2.01517307,1223.0
229376,2,1414,7,-39.43000149726868,8.165836334228516e-06,0.19775390625,0.1440277248620987,7152,0.0004092704424510632,0.2,0.013279825,0.035128168761730194,0.8733940720558167,-0.02352734442683868,-2.01517307,1223.0
229888,2,1395,8,-39.39445519447327,0.000377655029296875,0.1673583984375,0.0013473274902935373,7168,0.0004092704424510632,0.2,0.013162306,-0.0249627735465765,0.8725043535232544,-0.019156198264681734,-2.01517307,1223.0
230400,3,1382,9,-39.338765382766724,2.384185791015625e-06,0.2806396484375,0.0026352768181823194,7184,0.0004092704424510632,0.2,0.020723868,-0.03590282052755356,0.8709061741828918,-0.027003123628674075,-2.0128332099999997,1223.0
230912,3,1372,10,-39.28534686565399,0.0,0.321533203125,0.13085580081678927,7200,0.0004092704424510632,0.2,0.030701354,0.03081614151597023,0.8694600462913513,-0.03053625812754035,-2.0128332099999997,1223.0
231424,4,1363,11,-39.24838614463806,-8.821487426757812e-06,0.31494140625,0.0023351330382865854,7216,0.0004092704424510632,0.2,0.029468589,-0.03743704408407211,0.8686733245849609,-0.028711860853945836,-2.0084134199999997,1223.0
231936,4,1357,12,-39.23009538650513,4.76837158203125e-07,0.251953125,0.16323278611525893,7232,0.0004092704424510632,0.2,0.018347126,0.055745311081409454,0.867569625377655,-0.023767354985466227,-2.0084134199999997,1223.0
232448,4,1351,13,-39.171801686286926,-2.3484230041503906e-05,0.23828125,0.0011965294943365734,7248,0.0004092704424510632,0.2,0.017346751,-0.03690331429243088,0.8655751347541809,-0.02633025447721593,-2.00543712,1223.0
232960,5,1342,14,-39.12434542179108,7.152557373046875e-07,0.215576171875,0.14773395098745823,7264,0.0004092704424510632,0.2,0.017062427,0.07378946244716644,0.8655438423156738,-0.01990592338552233,-2.00543712,1223.0
