time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/clip_fraction,train/loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/std,train/n_updates,train/clip_range,train/entropy_loss,train/explained_variance,train/approx_kl,rollout/ep_len_mean,rollout/ep_rew_mean
1865,202752,102,27,0.0350341796875,0.05563211813569069,0.0004092704424510632,-0.010989514616085216,0.6223820231389254,0.97496098279953,6320,0.2,-43.00055432319641,0.6265524625778198,0.008477373,1223.0,-2.2564098099999996
1863,203264,103,28,0.2152099609375,-0.027231071144342422,0.0004092704424510632,-0.018574700778117403,0.003751871357962955,0.9726660251617432,6336,0.2,-42.964468479156494,-6.866903781890869,0.014255765,1223.0,-2.2547632199999996
1861,203776,104,28,0.0010986328125,0.12460941076278687,0.0004092704424510632,-0.005000489443773404,1.7414310914464295,0.9718769788742065,6352,0.2,-42.89985942840576,0.1629287600517273,0.002904961,1223.0,-2.2547632199999996
1859,204288,105,28,0.241455078125,-0.047337282449007034,0.0004092704424510632,-0.027178005286259577,0.0026083054508490022,0.9750323295593262,6368,0.2,-42.9306480884552,-1.202385663986206,0.014714593,1223.0,-2.2533221699999997
1857,204800,106,29,0.003173828125,0.2760510742664337,0.0004092704424510632,-0.004142802434216719,1.2063944973051548,0.9760158061981201,6384,0.2,-43.006951093673706,0.6109134554862976,0.0031283633,1223.0,-2.2533221699999997
1855,205312,107,29,0.271728515625,-0.038813814520835876,0.0004092704424510632,-0.029915773164248094,0.003455377180216601,0.9759197235107422,6400,0.2,-43.01628792285919,-0.5576797723770142,0.020397581,1223.0,-2.2533221699999997
1853,205824,108,29,0.2989501953125,-0.04316148906946182,0.0004092704424510632,-0.03380392242979724,0.0026939588533423375,0.9744120836257935,6416,0.2,-42.995311856269836,0.02920699119567871,0.025784124,1223.0,-2.2538670799999996
1851,206336,109,30,0.0194091796875,0.1133137047290802,0.0004092704424510632,-0.0002961726568173617,1.5581161752343178,0.9741226434707642,6432,0.2,-42.95958387851715,0.43913185596466064,0.0052551907,1223.0,-2.2538670799999996
1849,206848,110,30,0.2218017578125,-0.03315925598144531,0.0004092704424510632,-0.02061085789318895,0.014796792529523373,0.9746041297912598,6448,0.2,-42.95852839946747,-3.195056915283203,0.019089464,1223.0,-2.2528763
1847,207360,111,30,0.0267333984375,0.1579594910144806,0.0004092704424510632,-0.008486408019962255,1.2091281320899725,0.9748005867004395,6464,0.2,-42.97639560699463,0.3674073815345764,0.009230735,1223.0,-2.2528763
1845,207872,112,31,0.263916015625,-0.03962630778551102,0.0004092704424510632,-0.026844537758734077,0.006761232521967031,0.9726216793060303,6480,0.2,-42.946752190589905,-0.3561587333679199,0.018901251,1223.0,-2.2528763
1843,208384,113,31,0.1221923828125,0.09534751623868942,0.0004092704424510632,-0.014924897594028153,0.27872361801564693,0.9721311926841736,6496,0.2,-42.893699169158936,0.6688718795776367,0.020235274,1223.0,-2.24995134
1841,208896,114,31,0.152099609375,-0.024911679327487946,0.0004092704424510632,-0.017148831135273213,0.13254567346302792,0.9720560908317566,6512,0.2,-42.89387810230255,0.917482316493988,0.026278729,1223.0,-2.24995134
1840,209408,115,31,0.2733154296875,-0.02570180781185627,0.0004092704424510632,-0.025742400568560697,0.03844623320037499,0.970628559589386,6528,0.2,-42.87483274936676,-5.064685344696045,0.02183343,1223.0,-2.25035606
1838,209920,116,32,0.0093994140625,0.20826421678066254,0.0004092704424510632,-0.004795578395714983,1.5900877146050334,0.9700888395309448,6544,0.2,-42.83191478252411,0.3638167977333069,0.0043250024,1223.0,-2.25035606
1837,210432,117,32,0.2440185546875,-0.039318472146987915,0.0004092704424510632,-0.023596509199705906,0.00481728423255845,0.9704761505126953,6560,0.2,-42.835227251052856,-1.0804405212402344,0.018796053,1223.0,-2.2500814700000005
1836,210944,118,32,0.01611328125,0.18834124505519867,0.0004092704424510632,-0.010136620927369222,0.9985760720446706,0.9705049991607666,6576,0.2,-42.83981680870056,0.6096078157424927,0.0070958957,1223.0,-2.2500814700000005
1835,211456,119,33,0.2998046875,-0.05044341832399368,0.0004092704424510632,-0.03298658556013834,0.004910325580567587,0.9697157740592957,6592,0.2,-42.827126145362854,-1.3602814674377441,0.020528741,1223.0,-2.2500814700000005
1834,211968,120,33,0.25439453125,-0.026430487632751465,0.0004092704424510632,-0.025096586628933437,0.005322171025909483,0.9657763838768005,6608,0.2,-42.755643367767334,0.380895733833313,0.018610474,1223.0,-2.25254064
