time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/approx_kl,train/explained_variance,train/clip_range,train/n_updates,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
86,44032,24,1797,0.022495027427794412,-0.022251904156291857,-0.019605373963713646,0.0004092704424510632,-43.18069052696228,0.2322998046875,0.027526874,0.0833856463432312,0.2,1360,0.976804256439209,-2.7229963142857145,1258.0
87,44544,24,1797,0.07836855493951589,-0.014731454182765447,0.0013003870844841003,0.0004092704424510632,-43.18574595451355,0.1142578125,0.015453838,0.49599170684814453,0.2,1376,0.9768407344818115,-2.7229963142857145,1258.0
88,45056,25,1797,0.008570416117436253,-0.024722817266592756,-0.03263997659087181,0.0004092704424510632,-43.16687750816345,0.206298828125,0.015393117,-1.9583148956298828,0.2,1392,0.9757060408592224,-2.7229963142857145,1258.0
89,45568,25,1798,0.0028222548062331043,-0.02406061757938005,-0.04633888974785805,0.0004092704424510632,-43.11930501461029,0.2169189453125,0.016102843,0.13697880506515503,0.2,1408,0.9739124774932861,-2.7230952222222222,1258.0
90,46080,25,1798,0.10255190753377974,-0.019821320594928693,-0.014701716601848602,0.0004092704424510632,-43.09312355518341,0.1280517578125,0.015837384,0.10419982671737671,0.2,1424,0.9741030335426331,-2.7230952222222222,1258.0
91,46592,25,1798,0.025544148113112897,-0.026861603633733466,-0.04231321066617966,0.0004092704424510632,-43.088130950927734,0.1876220703125,0.013952788,0.0019317865371704102,0.2,1440,0.972922682762146,-2.7202233783783787,1258.0
92,47104,26,1799,0.09895785362459719,-0.023995254101464525,0.006578974425792694,0.0004092704424510632,-43.062124133110046,0.1881103515625,0.020691888,0.4964015483856201,0.2,1456,0.9733139872550964,-2.7202233783783787,1258.0
93,47616,26,1799,0.018062291288515553,-0.029515875241486356,-0.024243487045168877,0.0004092704424510632,-43.06376087665558,0.2620849609375,0.021344092,-0.25127124786376953,0.2,1472,0.9724908471107483,-2.7202233783783787,1258.0
94,48128,26,1799,0.010163322862354107,-0.02576852947822772,-0.04155728593468666,0.0004092704424510632,-43.05022966861725,0.2349853515625,0.021627411,-0.06303393840789795,0.2,1488,0.9733054637908936,-2.714646657894737,1258.0
95,48640,27,1800,0.1087733794702217,-0.01856388531450648,-0.0002768374979496002,0.0004092704424510632,-43.08472776412964,0.1090087890625,0.01446902,0.4001346230506897,0.2,1504,0.9740247130393982,-2.714646657894737,1258.0
96,49152,27,1800,0.04590355372056365,-0.02520258360891603,-0.009932408109307289,0.0004092704424510632,-43.09955847263336,0.2269287109375,0.020968612,-0.41446220874786377,0.2,1520,0.9743936061859131,-2.7144683589743592,1258.0
97,49664,27,1800,0.11140707973390818,-0.017944319639354944,0.020544052124023438,0.0004092704424510632,-43.09219515323639,0.1824951171875,0.02184229,0.5645060539245605,0.2,1536,0.9733214974403381,-2.7144683589743592,1258.0
98,50176,27,1800,0.0572704051155597,-0.022516248369356617,-0.01254788413643837,0.0004092704424510632,-43.04629158973694,0.2017822265625,0.016744556,0.3425709009170532,0.2,1552,0.9716442823410034,-2.7144683589743592,1258.0
99,50688,28,1801,0.01810724285314791,-0.02554354588210117,-0.030743908137083054,0.0004092704424510632,-43.00819194316864,0.2479248046875,0.020095795,-0.5936561822891235,0.2,1568,0.9721885323524475,-2.7130913,1258.0
100,51200,28,1801,0.08642081229481846,-0.017614004776987713,0.0002903006970882416,0.0004092704424510632,-43.04049599170685,0.1474609375,0.015628815,0.521787166595459,0.2,1584,0.9730261564254761,-2.7130913,1258.0
101,51712,28,1800,0.04313001118134707,-0.01988151913974434,-0.009418243542313576,0.0004092704424510632,-43.04430902004242,0.1788330078125,0.015007423,-0.5406452417373657,0.2,1600,0.9722676277160645,-2.71087343902439,1258.0
102,52224,28,1800,0.09864922240376472,-0.025112852483289316,0.0099947489798069,0.0004092704424510632,-43.02188539505005,0.2576904296875,0.021872688,0.5965020656585693,0.2,1616,0.971973180770874,-2.71087343902439,1258.0
103,52736,29,1800,0.04029184381943196,-0.02461653304635547,-0.02566174603998661,0.0004092704424510632,-43.00258278846741,0.260986328125,0.016846042,0.5660456418991089,0.2,1632,0.9707046747207642,-2.71087343902439,1258.0
