time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/value_loss,train/explained_variance,train/std,train/clip_range,train/loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1247,30,74,37888,1168,0.017101937992265448,-3.021343231201172,0.9848247766494751,0.2,-0.02760503813624382,0.02096895,-43.49755334854126,0.0004092704424510632,0.2608642578125,-0.02712466627417598,1258.0,-2.7327998999999994
1247,30,75,38400,1184,0.1534761053044349,0.4967604875564575,0.9846534729003906,0.2,0.0046101100742816925,0.015378577,-43.4501736164093,0.0004092704424510632,0.11572265625,-0.017677933559753,1258.0,-2.7327998999999994
1247,31,76,38912,1200,0.011572633433388546,-4.088973522186279,0.9820256233215332,0.2,-0.025728102773427963,0.020185083,-43.42460775375366,0.0004092704424510632,0.224365234375,-0.018900306647992693,1258.0,-2.7327998999999994
1247,31,77,39424,1216,0.004200513743853662,0.08260726928710938,0.9820324182510376,0.2,-0.04433999955654144,0.015377029,-43.36436855792999,0.0004092704424510632,0.2105712890625,-0.02284591321949847,1258.0,-2.7337609354838706
1247,32,78,39936,1232,0.1345171062857844,0.2058536410331726,0.9825021028518677,0.2,-0.020919540897011757,0.019406945,-43.38565766811371,0.0004092704424510632,0.16650390625,-0.025853911429294385,1258.0,-2.7337609354838706
1247,32,79,40448,1248,0.018520821031415835,-2.782447338104248,0.9830013513565063,0.2,-0.02223968878388405,0.018243706,-43.39368963241577,0.0004092704424510632,0.243408203125,-0.022316793809295632,1258.0,-2.726665875
1247,32,80,40960,1264,0.16288320149760693,0.3809216618537903,0.9828183650970459,0.2,0.007416063919663429,0.009933537,-43.40474617481232,0.0004092704424510632,0.1038818359375,-0.012778427990269847,1258.0,-2.726665875
1246,33,81,41472,1280,0.033296179957687855,-0.02181696891784668,0.9821258187294006,0.2,-0.03079937770962715,0.0231704,-43.38111746311188,0.0004092704424510632,0.2877197265625,-0.029549416998634115,1258.0,-2.726665875
1246,33,82,41984,1296,0.031258224276825786,0.602279782295227,0.9811762571334839,0.2,-0.017481110990047455,0.018892359,-43.35646629333496,0.0004092704424510632,0.2476806640625,-0.0242517370643327,1258.0,-2.728149363636364
1246,34,83,42496,1312,0.04343384614912793,0.8609164953231812,0.9805874228477478,0.2,-0.02292008511722088,0.026258908,-43.325376868247986,0.0004092704424510632,0.247314453125,-0.021397162054199725,1258.0,-2.728149363636364
1246,34,84,43008,1328,0.02810939188930206,-4.400177955627441,0.9816617369651794,0.2,-0.03273390606045723,0.020713644,-43.32521164417267,0.0004092704424510632,0.2225341796875,-0.0208313340699533,1258.0,-2.7289351764705887
1245,34,85,43520,1344,0.17619425896555185,0.22430622577667236,0.9820236563682556,0.2,0.006429098546504974,0.016341817,-43.35524606704712,0.0004092704424510632,0.1072998046875,-0.015482754170079716,1258.0,-2.7289351764705887
1244,35,86,44032,1360,0.005797177364001982,-0.20122981071472168,0.9841592311859131,0.2,-0.035892587155103683,0.025003102,-43.38272428512573,0.0004092704424510632,0.3072509765625,-0.031499643926508725,1258.0,-2.7323090571428574
1244,35,87,44544,1376,0.2434521313989535,0.3501272201538086,0.9849598407745361,0.2,0.015419933944940567,0.014006877,-43.43594229221344,0.0004092704424510632,0.0968017578125,-0.01770465109439101,1258.0,-2.7323090571428574
1244,36,88,45056,1392,0.00327871652552858,-2.0756802558898926,0.9861345887184143,0.2,-0.03207866847515106,0.019009149,-43.45637500286102,0.0004092704424510632,0.2738037109375,-0.029624292539665475,1258.0,-2.7323090571428574
1243,36,89,45568,1408,0.005258170975139365,0.033860206604003906,0.9874100685119629,0.2,-0.02565566822886467,0.025441818,-43.49585783481598,0.0004092704424510632,0.27685546875,-0.026470032113138586,1258.0,-2.732121166666667
1243,37,90,46080,1424,0.17699843493755907,0.271187961101532,0.987809419631958,0.2,-0.010473009198904037,0.013517903,-43.519092082977295,0.0004092704424510632,0.0821533203125,-0.015044507308630273,1258.0,-2.732121166666667
1243,37,91,46592,1440,0.00846138309861999,-1.6606602668762207,0.9882645606994629,0.2,-0.035538721829652786,0.022223298,-43.529853105545044,0.0004092704424510632,0.2645263671875,-0.02605946274707094,1258.0,-2.737444135135135
1243,37,92,47104,1456,0.24639757652767003,0.30105119943618774,0.9884167313575745,0.2,0.0022046249359846115,0.0128300125,-43.54241156578064,0.0004092704424510632,0.0687255859375,-0.014248435458284803,1258.0,-2.737444135135135
1243,38,93,47616,1472,0.00525049139832845,-4.609869003295898,0.9892646074295044,0.2,-0.036977533251047134,0.017575622,-43.55223798751831,0.0004092704424510632,0.2554931640625,-0.025634252931922674,1258.0,-2.737444135135135
1242,38,94,48128,1488,0.0017643469000176992,0.0364723801612854,0.9903964400291443,0.2,-0.037351880222558975,0.015231103,-43.588427662849426,0.0004092704424510632,0.2193603515625,-0.022633121247054078,1258.0,-2.733460684210526
