time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/entropy_loss,train/loss,train/std,train/explained_variance,train/learning_rate,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
148992,40,1804,144,-42.279178500175476,0.11458239704370499,0.9544948935508728,0.7788760662078857,0.0004092704424510632,0.0043864064,0.6891758041456342,-0.004489446910156403,0.004638671875,0.2,4640,-2.18780379,1258.0
149504,41,1803,145,-42.27794861793518,-0.03414633125066757,0.9548359513282776,-6.622422218322754,0.0004092704424510632,0.020849567,0.002755584726401139,-0.02674331358866766,0.269287109375,0.2,4656,-2.18780379,1258.0
150016,41,1802,146,-42.27723264694214,-0.035410042852163315,0.9551535844802856,-2.738654613494873,0.0004092704424510632,0.01557379,0.005405090720159933,-0.024853123642969877,0.252685546875,0.2,4672,-2.1855830700000003,1258.0
150528,41,1801,147,-42.27873384952545,0.10838092863559723,0.9551572203636169,0.5362105369567871,0.0004092704424510632,0.0060027586,1.3961581005714834,-0.0033927861077245325,0.0325927734375,0.2,4688,-2.1855830700000003,1258.0
151040,0,4030,1,-42.26413023471832,-0.03679490089416504,0.9541110992431641,0.1251813769340515,0.0004092704424510632,0.020896006,0.0052699489024234936,-0.024866345622285735,0.263427734375,0.2,4704,-2.18382546,1258.0
151552,0,2385,2,-42.23583734035492,0.14026275277137756,0.9536961317062378,0.6339424848556519,0.0004092704424510632,0.005520664,1.1807833700440824,-0.006201306379807647,0.0152587890625,0.2,4720,-2.18382546,1258.0
152064,0,2101,3,-42.24507391452789,-0.027047671377658844,0.9547464847564697,-0.8506325483322144,0.0004092704424510632,0.015039708,0.0026886247251241002,-0.023589258998981677,0.2271728515625,0.2,4736,-2.18382546,1258.0
152576,1,1985,4,-42.29628896713257,-0.02333916537463665,0.9563021063804626,0.6827046275138855,0.0004092704424510632,0.019603938,0.02032535505713895,-0.02113493173965253,0.22802734375,0.2,4752,-2.18276365,1258.0
153088,1,1920,5,-42.322770833969116,0.14832432568073273,0.9566635489463806,0.6564939022064209,0.0004092704424510632,0.008754708,0.649408905999735,-0.008873954269802198,0.0350341796875,0.2,4768,-2.18276365,1258.0
153600,1,1882,6,-42.32308268547058,-0.028175542131066322,0.9561240673065186,0.053917109966278076,0.0004092704424510632,0.025438273,0.010427800647448748,-0.024563338374719024,0.289306640625,0.2,4784,-2.180505,1258.0
154112,1,1854,7,-42.30103623867035,0.12206806242465973,0.9558563232421875,0.7863685488700867,0.0004092704424510632,0.010505816,0.6452336278744042,-0.0068793410318903625,0.037353515625,0.2,4800,-2.180505,1258.0
154624,2,1834,8,-42.31291115283966,-0.05447375029325485,0.9570843577384949,-1.027177333831787,0.0004092704424510632,0.025394589,0.0026943895645672455,-0.03528722486225888,0.3375244140625,0.2,4816,-2.180505,1258.0
155136,2,1816,9,-42.365461587905884,-0.01722022518515587,0.9586157202720642,0.7094311118125916,0.0004092704424510632,0.016254593,0.02534826722694561,-0.023367564077489078,0.2138671875,0.2,4832,-2.17741652,1258.0
155648,2,1803,10,-42.40015006065369,0.11385252326726913,0.9588850736618042,0.41415393352508545,0.0004092704424510632,0.004242102,1.312803034670651,-0.0071824164951976854,0.009033203125,0.2,4848,-2.17741652,1258.0
156160,3,1792,11,-42.386865973472595,-0.027343476191163063,0.9574845433235168,0.3524019718170166,0.0004092704424510632,0.018088128,0.009450405661482364,-0.027517894108314067,0.2298583984375,0.2,4864,-2.17658785,1258.0
156672,3,1784,12,-42.34732711315155,0.10687892138957977,0.9570068120956421,0.7767442464828491,0.0004092704424510632,0.008967139,0.702925723977387,-0.009316113690147176,0.0501708984375,0.2,4880,-2.17658785,1258.0
157184,3,1777,13,-42.363525390625,-0.04473104327917099,0.9583589434623718,-1.9926419258117676,0.0004092704424510632,0.024207693,0.0022559292665391695,-0.02930738011491485,0.2916259765625,0.2,4896,-2.17658785,1258.0
157696,4,1769,14,-42.39493489265442,-0.028876015916466713,0.9584318995475769,0.8496662974357605,0.0004092704424510632,0.019178603,0.030034796916879714,-0.02317850774852559,0.23583984375,0.2,4912,-2.17529763,1258.0
158208,4,1765,15,-42.38946890830994,0.05927753075957298,0.9583112001419067,0.3629639744758606,0.0004092704424510632,0.00618905,1.4135852828621864,-0.008958756254287437,0.0185546875,0.2,4928,-2.17529763,1258.0
158720,4,1761,16,-42.40149939060211,-0.03653523325920105,0.9595723152160645,-0.5054903030395508,0.0004092704424510632,0.022328135,0.004083074403752107,-0.03088497008138802,0.318115234375,0.2,4944,-2.17379974,1258.0
159232,4,1757,17,-42.44836449623108,0.08977967500686646,0.9605070352554321,0.4827163815498352,0.0004092704424510632,0.008026114,1.2478429283946753,-0.009715871987282299,0.0345458984375,0.2,4960,-2.17379974,1258.0
159744,5,1754,18,-42.435336232185364,-0.03215724974870682,0.9586987495422363,-1.1716020107269287,0.0004092704424510632,0.013343845,0.001599422730578226,-0.022099918394815177,0.192138671875,0.2,4976,-2.17379974,1258.0
