time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/value_loss,train/entropy_loss,train/std,train/approx_kl,train/explained_variance,train/clip_fraction,train/loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
23040,18,1239,45,704,0.00205103501866688,-43.55122435092926,0.9881201982498169,0.018848833,0.0015723705291748047,0.253173828125,-0.03687860816717148,0.2,-0.026431125595991034,0.0004092704424510632,1257.0,-2.3653683888888892
23552,19,1239,46,720,0.13812894723378122,-43.56577944755554,0.9879385828971863,0.025237381,0.0007544159889221191,0.26123046875,0.0223395898938179,0.2,-0.024542945924622472,0.0004092704424510632,1257.0,-2.3653683888888892
24064,19,1239,47,736,0.001981117413379252,-43.55198299884796,0.9877846837043762,0.01589204,-0.2456890344619751,0.21337890625,-0.04816443845629692,0.2,-0.024546207911043894,0.0004092704424510632,1257.0,-2.3603950526315796
24576,19,1238,48,752,0.15031132497824728,-43.54964900016785,0.9878299832344055,0.022409778,0.0027812719345092773,0.2967529296875,0.026215795427560806,0.2,-0.02437929011648521,0.0004092704424510632,1257.0,-2.3603950526315796
25088,20,1238,49,768,0.0033792544854804873,-43.53750777244568,0.9871717095375061,0.01273102,-2.03415584564209,0.222900390625,-0.02503403089940548,0.2,-0.02391737943980843,0.0004092704424510632,1257.0,-2.3603950526315796
25600,20,1237,50,784,0.0019275967497378588,-43.517202854156494,0.9866936802864075,0.018698005,0.02093660831451416,0.2509765625,-0.03702079504728317,0.2,-0.028498908650362864,0.0004092704424510632,1257.0,-2.3561034500000004
26112,21,1237,51,800,0.12408124445937574,-43.48919987678528,0.9854023456573486,0.035389915,0.005108773708343506,0.357421875,0.01627087965607643,0.2,-0.033204309962457046,0.0004092704424510632,1257.0,-2.3561034500000004
26624,21,1237,52,816,0.004531253212917363,-43.45015025138855,0.9845988154411316,0.015279307,-1.3714396953582764,0.2308349609375,-0.04209798201918602,0.2,-0.024152449012035504,0.0004092704424510632,1257.0,-2.352388666666667
27136,21,1236,53,832,0.14898733189329505,-43.438604950904846,0.9845557808876038,0.019247215,0.0004608035087585449,0.228759765625,0.059477560222148895,0.2,-0.02167550931335427,0.0004092704424510632,1257.0,-2.352388666666667
27648,22,1236,54,848,0.0047628217143937945,-43.4490464925766,0.9851559996604919,0.018366417,-0.00020694732666015625,0.2548828125,-0.03544862940907478,0.2,-0.024278636003145948,0.0004092704424510632,1257.0,-2.352388666666667
28160,22,1235,55,864,0.0013412975404207828,-43.435654282569885,0.9832311868667603,0.01779955,0.004007697105407715,0.2481689453125,-0.040348850190639496,0.2,-0.02463858223927673,0.0004092704424510632,1257.0,-2.345806863636364
28672,23,1235,56,880,0.04496862673840951,-43.390700697898865,0.9833645820617676,0.023039201,0.0003267526626586914,0.2635498046875,-0.0051030926406383514,0.2,-0.021088894340209663,0.0004092704424510632,1257.0,-2.345806863636364
29184,23,1235,57,896,0.0035530620443751104,-43.385645031929016,0.9821006059646606,0.014996378,-0.0003554821014404297,0.2193603515625,-0.0470745824277401,0.2,-0.02687054306443315,0.0004092704424510632,1257.0,-2.349613043478261
29696,24,1234,58,912,0.18204197566956282,-43.336997509002686,0.9812581539154053,0.016105678,0.0004839301109313965,0.210693359375,0.0661625936627388,0.2,-0.021682847116608173,0.0004092704424510632,1257.0,-2.349613043478261
30208,24,1233,59,928,0.0046021163725527,-43.31752932071686,0.9801718592643738,0.013303036,-0.05781888961791992,0.2127685546875,-0.03133212774991989,0.2,-0.022278039585216902,0.0004092704424510632,1257.0,-2.3619537916666666
30720,24,1233,60,944,0.1913500800728798,-43.30930423736572,0.9813534021377563,0.019614447,0.000470578670501709,0.2232666015625,0.07763588428497314,0.2,-0.024536668890505098,0.0004092704424510632,1257.0,-2.3619537916666666
31232,25,1233,61,960,0.0026778749124787282,-43.349905252456665,0.9823257327079773,0.020148166,-0.0067136287689208984,0.233154296875,-0.04200022667646408,0.2,-0.02388242370216176,0.0004092704424510632,1257.0,-2.3619537916666666
