time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/loss,train/explained_variance,train/clip_fraction,train/clip_range,train/approx_kl,train/entropy_loss,train/value_loss,train/learning_rate,train/n_updates,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
1181,39,90,46080,-0.011457923770649359,0.023229805752635002,0.2716060280799866,0.059326171875,0.2,0.011730293,-43.18381667137146,0.20650535612367094,0.0004092704424510632,1424,0.9762855172157288,-2.245404405405405,1223.0
1181,39,91,46592,-0.026439804292749614,-0.032867658883333206,-2.735159397125244,0.2452392578125,0.2,0.015402818,-43.194244027137756,0.005627641410683282,0.0004092704424510632,1440,0.9764299988746643,-2.245547342105263,1223.0
1180,39,92,47104,-0.017617568199057132,0.019585223868489265,0.27786821126937866,0.1279296875,0.2,0.014512252,-43.19712579250336,0.24571800790727139,0.0004092704424510632,1456,0.9764304757118225,-2.245547342105263,1223.0
1180,40,93,47616,-0.02585388658917509,-0.03605243191123009,-0.5179328918457031,0.229248046875,0.2,0.016710369,-43.17350518703461,0.0050350370147498325,0.0004092704424510632,1472,0.9746764302253723,-2.245547342105263,1223.0
1180,40,94,48128,-0.03152833069907501,-0.029236936941742897,0.14710533618927002,0.2733154296875,0.2,0.019101907,-43.11564016342163,0.004300429798604455,0.0004092704424510632,1488,0.973702073097229,-2.2452250256410258,1223.0
1180,41,95,48640,-0.014018532296177,0.033923301845788956,0.37924736738204956,0.0751953125,0.2,0.015199626,-43.108702063560486,0.18349761550780386,0.0004092704424510632,1504,0.9739475250244141,-2.2452250256410258,1223.0
1180,41,96,49152,-0.01944193932285998,-0.01944935880601406,-4.519227027893066,0.1746826171875,0.2,0.0127562545,-43.12394189834595,0.025025537062902004,0.0004092704424510632,1520,0.9747658371925354,-2.2413140499999997,1223.0
1180,42,97,49664,-0.022979417524766177,0.004991650581359863,0.05473458766937256,0.1822509765625,0.2,0.019830676,-43.14929270744324,0.2687403759919107,0.0004092704424510632,1536,0.9752877950668335,-2.2413140499999997,1223.0
1179,42,98,50176,-0.02629603454261087,-0.03732975572347641,-2.1971120834350586,0.2996826171875,0.2,0.02402201,-43.18942749500275,0.005451691999041941,0.0004092704424510632,1552,0.9779457449913025,-2.237938951219512,1223.0
1179,42,99,50688,-0.013754144543781877,0.02260236069560051,0.28258877992630005,0.06640625,0.2,0.011505343,-43.26493775844574,0.2160061204340309,0.0004092704424510632,1568,0.978972852230072,-2.237938951219512,1223.0
1179,43,100,51200,-0.021712086017942056,-0.034598443657159805,-0.37508106231689453,0.2230224609375,0.2,0.016627256,-43.29211747646332,0.0050006513120024465,0.0004092704424510632,1584,0.9802974462509155,-2.237938951219512,1223.0
1179,43,101,51712,-0.02301452003302984,-0.03422525152564049,0.0822821855545044,0.2161865234375,0.2,0.016374385,-43.31315076351166,0.004371113078377675,0.0004092704424510632,1600,0.9800230264663696,-2.237343880952381,1223.0
1179,44,102,52224,-0.017179407193907537,-0.0019414275884628296,0.37052780389785767,0.0859375,0.2,0.014816993,-43.31693398952484,0.1789536306168884,0.0004092704424510632,1616,0.9805777072906494,-2.237343880952381,1223.0
1179,44,103,52736,-0.02516189045854844,-0.048078760504722595,-4.414494514465332,0.275146484375,0.2,0.018842656,-43.35107147693634,0.005426117502793204,0.0004092704424510632,1632,0.9823210835456848,-2.234481372093023,1223.0
1179,45,104,53248,-0.017735441273543984,0.014217540621757507,0.17087489366531372,0.0867919921875,0.2,0.013968211,-43.38784468173981,0.2668693480081856,0.0004092704424510632,1648,0.9824357628822327,-2.234481372093023,1223.0
1179,45,105,53760,-0.02411479048896581,-0.03905516117811203,0.04029977321624756,0.2421875,0.2,0.0159346,-43.347177267074585,0.007418536304612644,0.0004092704424510632,1664,0.9796172380447388,-2.234481372093023,1223.0
1179,46,106,54272,-0.030174495419487357,-0.050478290766477585,0.17862963676452637,0.2845458984375,0.2,0.023966901,-43.271491050720215,0.0030027032298676204,0.0004092704424510632,1680,0.9779008626937866,-2.233224454545454,1223.0
1178,46,107,54784,-0.01808564190287143,-0.01705324277281761,0.18647730350494385,0.09130859375,0.2,0.015573695,-43.235474944114685,0.17709688434842974,0.0004092704424510632,1696,0.9774616956710815,-2.233224454545454,1223.0
