time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/approx_kl,train/clip_fraction,train/explained_variance,train/entropy_loss,train/loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/std,train/learning_rate,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
215040,38,126,1659,0.024785686,0.2672119140625,-3.3862528800964355,-43.307735562324524,-0.04453551024198532,6704,0.2,-0.02915497962385416,0.9921491146087646,0.0004092704424510632,0.00955500097188633,1258.0,-2.51881703
215552,39,127,1659,0.031989172,0.3453369140625,0.3737426996231079,-43.32187592983246,-0.03180444985628128,6720,0.2,-0.027914992155274376,0.992541491985321,0.0004092704424510632,0.005399571207817644,1258.0,-2.51888608
216064,39,128,1660,0.021787208,0.16015625,0.510418176651001,-43.320236802101135,-0.010991837829351425,6736,0.2,-0.020332734566181898,0.9920524954795837,0.0004092704424510632,0.39027943403925747,1258.0,-2.51888608
216576,39,129,1660,0.022864938,0.2486572265625,-0.5347260236740112,-43.29953110218048,0.05722184106707573,6752,0.2,-0.023025734757538885,0.9918763637542725,0.0004092704424510632,0.247251037042588,1258.0,-2.5196350499999998
217088,40,130,1661,0.01217174,0.125244140625,0.7525708079338074,-43.29060256481171,0.06095011532306671,6768,0.2,-0.007930931227747351,0.9916152954101562,0.0004092704424510632,0.5625051627866924,1258.0,-2.5196350499999998
217600,40,131,1661,0.025479302,0.2864990234375,-2.3296635150909424,-43.29767072200775,-0.029325544834136963,6784,0.2,-0.026182831279584207,0.9923935532569885,0.0004092704424510632,0.0424702272284776,1258.0,-2.5196350499999998
218112,40,132,1662,0.022542004,0.2666015625,0.46998798847198486,-43.30351769924164,-0.013233628123998642,6800,0.2,-0.01962290029041469,0.9915798306465149,0.0004092704424510632,0.12439191585872322,1258.0,-2.5191508
218624,40,133,1663,0.02216512,0.1444091796875,0.742412805557251,-43.285192370414734,-0.015016981400549412,6816,0.2,-0.018107465002685785,0.9917017817497253,0.0004092704424510632,0.1571631304686889,1258.0,-2.5191508
219136,41,134,1663,0.023578547,0.2950439453125,-7.842472076416016,-43.298736810684204,-0.04405943676829338,6832,0.2,-0.027615069673629478,0.9919156432151794,0.0004092704424510632,0.0074049083777936175,1258.0,-2.5169992100000003
219648,41,135,1664,0.017160177,0.2259521484375,0.3736051917076111,-43.29962193965912,0.02552124485373497,6848,0.2,0.002630605027661659,0.9919651746749878,0.0004092704424510632,0.803459246410057,1258.0,-2.5169992100000003
220160,41,136,1665,0.05986841,0.3935546875,-6.098334789276123,-43.287500619888306,-0.03725190833210945,6864,0.2,-0.025540965871186927,0.9904830455780029,0.0004092704424510632,0.00939440790534718,1258.0,-2.51422426
220672,42,137,1666,0.01335863,0.1766357421875,0.5151755213737488,-43.253821849823,0.024545643478631973,6880,0.2,-0.009845377513556741,0.9897714257240295,0.0004092704424510632,0.6285887723788619,1258.0,-2.51422426
221184,42,138,1667,0.020842053,0.3216552734375,-2.2111613750457764,-43.24302136898041,-0.04581282287836075,6896,0.2,-0.03486191686533857,0.9895241260528564,0.0004092704424510632,0.0020256142433936475,1258.0,-2.51422426
221696,42,139,1667,0.030447103,0.342041015625,-0.3498445749282837,-43.212297439575195,-0.06836099922657013,6912,0.2,-0.027891076024388894,0.9880011081695557,0.0004092704424510632,0.0041486588306725025,1258.0,-2.5116129600000003
222208,42,140,1668,0.019382171,0.14794921875,0.6345114707946777,-43.18500506877899,0.0036862827837467194,6928,0.2,-0.019447691811365075,0.9876843690872192,0.0004092704424510632,0.5136709704529494,1258.0,-2.5116129600000003
222720,43,141,1668,0.035069343,0.324951171875,-6.069039344787598,-43.191327691078186,-0.04518451169133186,6944,0.2,-0.02760932969977148,0.9885250329971313,0.0004092704424510632,0.011078134397394024,1258.0,-2.5094147
223232,43,142,1669,0.013402887,0.11962890625,0.22091251611709595,-43.2107617855072,0.08193890750408173,6960,0.2,-0.012364917987724766,0.9885932207107544,0.0004092704424510632,1.2247863044030964,1258.0,-2.5094147
223744,43,143,1669,0.030463995,0.3359375,0.1463836431503296,-43.201908826828,-0.047666035592556,6976,0.2,-0.035306355595821515,0.9880651235580444,0.0004092704424510632,0.004731699937110534,1258.0,-2.5094147
224256,44,144,1670,0.021606542,0.31591796875,-0.3320469856262207,-43.224116802215576,-0.053955115377902985,6992,0.2,-0.033253575704293326,0.98974609375,0.0004092704424510632,0.002069060976282344,1258.0,-2.50794319
224768,44,145,1671,0.018850062,0.1668701171875,0.6469416618347168,-43.26362109184265,0.022375140339136124,7008,0.2,-0.013963549841719214,0.9903435111045837,0.0004092704424510632,0.5129076538141817,1258.0,-2.50794319
225280,44,146,1671,0.029988024,0.3204345703125,-6.652591228485107,-43.274505376815796,-0.03912856802344322,7024,0.2,-0.031484536550124176,0.9904521107673645,0.0004092704424510632,0.019979979610070586,1258.0,-2.5054228700000003
225792,45,147,1672,0.012000026,0.1431884765625,0.35294920206069946,-43.27327513694763,0.017493002116680145,7040,0.2,-0.008816796820610762,0.9906150698661804,0.0004092704424510632,0.8562064215075225,1258.0,-2.5054228700000003
226304,0,1,4135,0.025265118,0.2955322265625,-2.869870185852051,-43.26066172122955,-0.0429934561252594,7056,0.2,-0.035113602760247886,0.989277720451355,0.0004092704424510632,0.006885802918986883,1258.0,-2.5054228700000003
226816,0,2,2464,0.020166982,0.3323974609375,-0.35459649562835693,-43.213502287864685,-0.04789629951119423,7072,0.2,-0.03475671249907464,0.9882615208625793,0.0004092704424510632,0.003780141192692099,1258.0,-2.50402161
227328,0,3,2160,0.016247021,0.1279296875,0.35829228162765503,-43.19064652919769,0.028332125395536423,7088,0.2,-0.01368823267694097,0.9878214597702026,0.0004092704424510632,0.9079003313090652,1258.0,-2.50402161
227840,1,4,2026,0.020633113,0.2464599609375,-4.6752238273620605,-43.19612741470337,-0.035428423434495926,7104,0.2,-0.02670513246266637,0.988844096660614,0.0004092704424510632,0.0072711847751634195,1258.0,-2.5030820000000005
228352,1,5,1968,0.012854414,0.0965576171875,0.5020869374275208,-43.22258973121643,0.0352054163813591,7120,0.2,-0.013900105681386776,0.9890662431716919,0.0004092704424510632,0.7029517572373152,1258.0,-2.5030820000000005
228864,1,6,1935,0.029521361,0.2745361328125,-3.520923614501953,-43.22942495346069,-0.0464043989777565,7136,0.2,-0.02946192948729731,0.9895641803741455,0.0004092704424510632,0.006960623053601012,1258.0,-2.5030820000000005
229376,1,7,1904,0.033084318,0.3489990234375,0.14046937227249146,-43.20446074008942,-0.04462199658155441,7152,0.2,-0.031231786822900176,0.988308846950531,0.0004092704424510632,0.003638000212959014,1258.0,-2.50257588
229888,2,8,1890,0.01804094,0.135498046875,0.4845021963119507,-43.17162334918976,0.0009161699563264847,7168,0.2,-0.013482477545039728,0.9878543615341187,0.0004092704424510632,0.45062185800634325,1258.0,-2.50257588
230400,2,9,1876,0.035403408,0.299072265625,-7.918458938598633,-43.17296659946442,-0.03608096018433571,7184,0.2,-0.03245669827447273,0.9884793758392334,0.0004092704424510632,0.02417432446964085,1258.0,-2.50108921
230912,2,10,1870,0.008734905,0.050537109375,0.3336524963378906,-43.19254922866821,0.07552758604288101,7200,0.2,-0.0070399076648755,0.9885355830192566,0.0004092704424510632,1.0890314825810492,1258.0,-2.50108921
231424,3,11,1863,0.030383952,0.334716796875,-0.7083885669708252,-43.18524360656738,-0.03951959311962128,7216,0.2,-0.03485318331513554,0.9880281090736389,0.0004092704424510632,0.008257684181444347,1258.0,-2.50108921
231936,3,12,1849,0.012715824,0.2403564453125,0.48635298013687134,-43.16655790805817,-0.012183642014861107,7232,0.2,-0.01943592503084801,0.9876133799552917,0.0004092704424510632,0.028487347182817757,1258.0,-2.50093521
232448,3,13,1845,0.0223458,0.181640625,0.5342718362808228,-43.16210865974426,-0.026976242661476135,7248,0.2,-0.01712679802949424,0.987433910369873,0.0004092704424510632,0.40010182600235566,1258.0,-2.50093521
232960,3,14,1844,0.028950699,0.304443359375,-6.612941741943359,-43.16291689872742,-0.03952082619071007,7264,0.2,-0.029614150407724082,0.9870973229408264,0.0004092704424510632,0.017200227157445624,1258.0,-2.49898721
233472,4,15,1843,0.01585557,0.1649169921875,0.4497305154800415,-43.157121896743774,0.09802660346031189,7280,0.2,-0.011048952277633362,0.9865988492965698,0.0004092704424510632,0.8521685125306249,1258.0,-2.49898721
233984,4,16,1839,0.027595244,0.24755859375,-3.8494248390197754,-43.15963041782379,-0.02739987149834633,7296,0.2,-0.0188664642337244,0.9875910878181458,0.0004092704424510632,0.006946267829334829,1258.0,-2.49898721
234496,4,17,1833,0.010258103,0.1513671875,0.648052453994751,-43.19236755371094,0.06801857054233551,7312,0.2,-0.009228986426023766,0.988176703453064,0.0004092704424510632,0.537519475677982,1258.0,-2.4977738200000004
235008,5,18,1830,0.020367038,0.3199462890625,0.9824482798576355,-43.17035639286041,-0.038592711091041565,7328,0.2,-0.03046716436801944,0.9858890175819397,0.0004092704424510632,0.007191185686679091,1258.0,-2.4977738200000004
235520,5,19,1825,0.029492637,0.3050537109375,-6.475089073181152,-43.16394853591919,-0.04118214175105095,7344,0.2,-0.03035987383191241,0.9891949892044067,0.0004092704424510632,0.0076409515022533014,1258.0,-2.4990293599999998
