time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/loss,train/std,train/learning_rate,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
62,19,1641,31744,0.015647419,-0.026852571420022286,0.2,0.08059638738632202,-0.03746733069419861,0.9940499663352966,0.0004092704424510632,0.003373836516402662,0.2181396484375,976,-43.75776827335358,1258.0,-2.48223356
63,19,1640,32256,0.020287056,-0.020987423311453313,0.2,0.2568928003311157,0.011718280613422394,0.994641900062561,0.0004092704424510632,0.14701863355003297,0.163818359375,992,-43.76205921173096,1258.0,-2.48223356
64,19,1639,32768,0.022349212,-0.027898347179871053,0.2,0.02071511745452881,-0.03985786437988281,0.9935296177864075,0.0004092704424510632,0.005047296770499088,0.2938232421875,1008,-43.75618052482605,1258.0,-2.479168423076923
65,20,1638,33280,0.013245178,-0.012479332071961835,0.2,0.1887599229812622,-0.0028164181858301163,0.99274080991745,0.0004092704424510632,0.1800654890248552,0.097412109375,1024,-43.718634486198425,1258.0,-2.479168423076923
66,20,1637,33792,0.0180217,-0.023181421391200274,0.2,0.03840285539627075,-0.03487904742360115,0.9938533306121826,0.0004092704424510632,0.009761382534634322,0.24072265625,1040,-43.72294306755066,1258.0,-2.479168423076923
67,20,1636,34304,0.016575867,-0.027305114788759965,0.2,-1.0556702613830566,-0.03463984280824661,0.990821123123169,0.0004092704424510632,0.0034194333347841166,0.2254638671875,1056,-43.70312964916229,1258.0,-2.481114777777777
68,21,1635,34816,0.011076733,-0.01493795111309737,0.2,0.23752421140670776,-0.004751166328787804,0.9899267554283142,0.0004092704424510632,0.1462322494480759,0.1016845703125,1072,-43.62430703639984,1258.0,-2.481114777777777
69,21,1634,35328,0.023155311,-0.02720869713812135,0.2,-1.648237705230713,-0.031008146703243256,0.9896109700202942,0.0004092704424510632,0.007575632989755832,0.2626953125,1088,-43.61463737487793,1258.0,-2.4812881428571423
70,21,1633,35840,0.010614129,-0.011367433697159868,0.2,0.5671935081481934,0.009731419384479523,0.9895104765892029,0.0004092704424510632,0.12383876461535692,0.076171875,1104,-43.60428476333618,1258.0,-2.4812881428571423
71,22,1632,36352,0.027859526,-0.028542851621750742,0.2,-1.0699169635772705,-0.02127900719642639,0.9913426041603088,0.0004092704424510632,0.02423974161501974,0.275146484375,1120,-43.62382102012634,1258.0,-2.4812881428571423
72,22,1634,36864,0.016109167,-0.021752052649389952,0.2,-1.083533525466919,-0.029834363609552383,0.9930182695388794,0.0004092704424510632,0.0032902684361033607,0.224609375,1136,-43.684922218322754,1258.0,-2.4867684827586203
73,22,1637,37376,0.020397667,-0.019238574037444778,0.2,0.18665164709091187,-0.006807954981923103,0.9933819770812988,0.0004092704424510632,0.16089178516995162,0.1495361328125,1152,-43.71234691143036,1258.0,-2.4867684827586203
74,23,1637,37888,0.015871372,-0.03023164669139078,0.2,-2.151324510574341,-0.039201509207487106,0.9908304810523987,0.0004092704424510632,0.007975050568347797,0.2547607421875,1168,-43.69006907939911,1258.0,-2.4854806
75,23,1640,38400,0.01623404,-0.017242156493011862,0.2,0.3947690725326538,-0.004063181579113007,0.9898682832717896,0.0004092704424510632,0.15033051231876016,0.1270751953125,1184,-43.61601459980011,1258.0,-2.4854806
76,23,1642,38912,0.019714655,-0.027804068420664407,0.2,-1.128300666809082,-0.04130453243851662,0.9898510575294495,0.0004092704424510632,0.01036345399916172,0.2559814453125,1200,-43.603872895240784,1258.0,-2.4854806
77,23,1645,39424,0.014340218,-0.023605234731803648,0.2,0.4144698977470398,-0.039070986211299896,0.9871703386306763,0.0004092704424510632,0.005694975450751372,0.26611328125,1216,-43.57054817676544,1258.0,-2.4862434838709673
78,24,1648,39936,0.021740478,-0.02108898086589761,0.2,0.5301721096038818,-0.012157604098320007,0.9861538410186768,0.0004092704424510632,0.13417136576026678,0.1590576171875,1232,-43.49495816230774,1258.0,-2.4862434838709673
79,24,1649,40448,0.019111779,-0.023749289335682988,0.2,-3.122687339782715,-0.031042233109474182,0.9854441285133362,0.0004092704424510632,0.044356125814374536,0.223876953125,1248,-43.477579832077026,1258.0,-2.4849502812499997
80,24,1650,40960,0.013341334,-0.017111688168370165,0.2,0.153048574924469,-0.011251889169216156,0.9853312969207764,0.0004092704424510632,0.21651995123829693,0.1412353515625,1264,-43.4622220993042,1258.0,-2.4849502812499997
81,25,1652,41472,0.02196306,-0.025179203221341595,0.2,0.09587067365646362,-0.037625961005687714,0.9863179326057434,0.0004092704424510632,0.014254251611419022,0.2669677734375,1280,-43.47529947757721,1258.0,-2.4849502812499997
82,25,1651,41984,0.017181925,-0.027169951499672607,0.2,0.6999075412750244,-0.034239355474710464,0.9871136546134949,0.0004092704424510632,0.021121600060723722,0.2607421875,1296,-43.50926733016968,1258.0,-2.4802989696969693
83,25,1650,42496,0.022654478,-0.021919182559940964,0.2,0.8330211043357849,-0.020555958151817322,0.985588550567627,0.0004092704424510632,0.04611424985341728,0.2255859375,1312,-43.502026081085205,1258.0,-2.4802989696969693
84,26,1651,43008,0.021227052,-0.022821540071163327,0.2,-5.341561794281006,-0.03818242996931076,0.9871845841407776,0.0004092704424510632,0.025652509997598827,0.245361328125,1328,-43.48016965389252,1258.0,-2.4771391176470585
85,26,1653,43520,0.014272038,-0.019130678425426595,0.2,0.2805808186531067,-0.010581690818071365,0.9876720905303955,0.0004092704424510632,0.19290266028838232,0.1917724609375,1344,-43.53336584568024,1258.0,-2.4771391176470585
86,26,1651,44032,0.019851042,-0.02460863479063846,0.2,-0.6153510808944702,-0.04131310060620308,0.9866109490394592,0.0004092704424510632,0.007417039087158628,0.251953125,1360,-43.51693832874298,1258.0,-2.479456857142857
87,26,1651,44544,0.013185307,-0.015397152528748848,0.2,0.6955536603927612,0.026725880801677704,0.9864853620529175,0.0004092704424510632,0.17970955721102655,0.0948486328125,1376,-43.49324309825897,1258.0,-2.479456857142857
88,27,1651,45056,0.021439679,-0.027404319786000997,0.2,-2.1925621032714844,-0.03340274468064308,0.9859579801559448,0.0004092704424510632,0.005793041120341513,0.257568359375,1392,-43.48635971546173,1258.0,-2.479456857142857
89,27,1650,45568,0.021526974,-0.026633575471350923,0.2,0.05621224641799927,-0.04120616242289543,0.9868279695510864,0.0004092704424510632,0.0027576313659665175,0.2578125,1408,-43.48683571815491,1258.0,-2.4784805277777777
90,27,1652,46080,0.013872502,-0.013315761549165472,0.2,0.2612679600715637,0.012217096984386444,0.98725426197052,0.0004092704424510632,0.21351847716141492,0.0701904296875,1424,-43.51193368434906,1258.0,-2.4784805277777777
91,28,1653,46592,0.018119417,-0.025800936928135343,0.2,-0.8662396669387817,-0.037797097116708755,0.9875988364219666,0.0004092704424510632,0.0043379701528465375,0.243408203125,1440,-43.52161717414856,1258.0,-2.473862972972973
92,28,1655,47104,0.013200555,-0.012646203249460086,0.2,0.43454205989837646,-0.001833699643611908,0.9877475500106812,0.0004092704424510632,0.17277725390158594,0.05908203125,1456,-43.52444231510162,1258.0,-2.473862972972973
93,28,1656,47616,0.025370715,-0.02884538889338728,0.2,-4.63344144821167,-0.03632698208093643,0.9875689148902893,0.0004092704424510632,0.0032287459434883203,0.29541015625,1472,-43.523677349090576,1258.0,-2.473862972972973
94,29,1657,48128,0.015112633,-0.023377248042379506,0.2,0.05642092227935791,-0.03444039449095726,0.9879298806190491,0.0004092704424510632,0.0022097111977927852,0.21240234375,1488,-43.52691102027893,1258.0,-2.474940342105263
95,29,1659,48640,0.0147044575,-0.014146508416160941,0.2,0.1070411205291748,0.000988103449344635,0.9880133271217346,0.0004092704424510632,0.27220827143173665,0.072021484375,1504,-43.53215157985687,1258.0,-2.474940342105263
96,29,1659,49152,0.02402977,-0.0198971157806227,0.2,-1.5919089317321777,-0.02427513152360916,0.9879918098449707,0.0004092704424510632,0.012772404588758945,0.23095703125,1520,-43.53538954257965,1258.0,-2.477597846153846
97,29,1661,49664,0.0112420395,-0.011129421647638083,0.2,0.5705413818359375,0.0243416428565979,0.9875521659851074,0.0004092704424510632,0.25139407627284527,0.0653076171875,1536,-43.524874567985535,1258.0,-2.477597846153846
98,30,1662,50176,0.028364588,-0.023992337693925947,0.2,-2.70011830329895,-0.018558062613010406,0.9891274571418762,0.0004092704424510632,0.02261556324083358,0.2513427734375,1552,-43.53612840175629,1258.0,-2.477597846153846
99,30,1664,50688,0.028271189,-0.0286102338868659,0.2,-0.08723568916320801,-0.03511812165379524,0.990643322467804,0.0004092704424510632,0.003255308300140314,0.2735595703125,1568,-43.591673851013184,1258.0,-2.4755858
100,30,1663,51200,0.0161334,-0.018419513551634736,0.2,0.33224737644195557,0.03861691802740097,0.9907307028770447,0.0004092704424510632,0.24358342168852687,0.14111328125,1584,-43.62136483192444,1258.0,-2.4755858
101,31,1665,51712,0.021212302,-0.021815745858475566,0.2,-2.859848976135254,-0.03007648140192032,0.9900680184364319,0.0004092704424510632,0.02553387184161693,0.2301025390625,1600,-43.60761606693268,1258.0,-2.472537463414634
102,31,1664,52224,0.015385445,-0.011222855740925297,0.2,0.4432096481323242,0.03279111534357071,0.9902092218399048,0.0004092704424510632,0.2021593579556793,0.0833740234375,1616,-43.59477663040161,1258.0,-2.472537463414634
103,31,1666,52736,0.022863094,-0.02528169157449156,0.2,-0.12516772747039795,-0.02812948450446129,0.9912997484207153,0.0004092704424510632,0.009273696356103756,0.27783203125,1632,-43.614078640937805,1258.0,-2.472537463414634
104,31,1666,53248,0.021000892,-0.02676161320414394,0.2,0.2380084991455078,-0.025143835693597794,0.9921843409538269,0.0004092704424510632,0.00725422832329059,0.2537841796875,1648,-43.65254211425781,1258.0,-2.4703796904761908
105,32,1666,53760,0.013648911,-0.013194046172429807,0.2,0.5207539796829224,-0.00605643168091774,0.992133378982544,0.0004092704424510632,0.1452715777559206,0.0914306640625,1664,-43.66620886325836,1258.0,-2.4703796904761908
106,32,1666,54272,0.02447756,-0.02757061115698889,0.2,-3.8151354789733887,-0.03163253515958786,0.9911119341850281,0.0004092704424510632,0.012676923317485489,0.26123046875,1680,-43.65071249008179,1258.0,-2.4708809534883724
107,32,1667,54784,0.01016628,-0.011741478752810508,0.2,0.3314237594604492,0.01049380749464035,0.9904630184173584,0.0004092704424510632,0.2829347049118951,0.0665283203125,1696,-43.61673104763031,1258.0,-2.4708809534883724
108,33,1667,55296,0.023977865,-0.02704899010132067,0.2,-1.1706011295318604,-0.042902328073978424,0.9929092526435852,0.0004092704424510632,0.011572809642530046,0.2724609375,1712,-43.63314342498779,1258.0,-2.4708809534883724
109,33,1667,55808,0.015609485,-0.022931107247131877,0.2,0.6601945757865906,-0.030452538281679153,0.9931323528289795,0.0004092704424510632,0.023298740503378212,0.258544921875,1728,-43.69063091278076,1258.0,-2.4709057954545455
110,33,1669,56320,0.02374386,-0.02229484115378,0.2,0.8053480386734009,-0.017028648406267166,0.9921543002128601,0.0004092704424510632,0.08989373582880944,0.1468505859375,1744,-43.67777991294861,1258.0,-2.4709057954545455
111,34,1668,56832,0.018132478,-0.019338031081133522,0.2,-6.428191184997559,-0.02055317908525467,0.991852343082428,0.0004092704424510632,0.05972976557677612,0.1612548828125,1760,-43.651960253715515,1258.0,-2.467189355555556
112,34,1668,57344,0.011743981,-0.01334511410095729,0.2,0.04983645677566528,0.057949818670749664,0.9918534159660339,0.0004092704424510632,0.4989524460397661,0.0836181640625,1776,-43.64881193637848,1258.0,-2.467189355555556
