time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/loss,train/approx_kl,train/n_updates,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_fraction,train/std,train/value_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
146944,140,57,1256,-0.028234800323843956,0.051940452,4576,0.2,-0.02333039348013699,-42.35849463939667,0.0004092704424510632,0.3355712890625,0.95326167345047,0.03607790458772797,0.9545428156852722,-2.27546487,1258.0
147456,141,57,1257,-0.04220367968082428,0.021010276,4592,0.2,-0.029633850586833432,-42.31583595275879,0.0004092704424510632,0.291015625,0.9518333077430725,0.005414213141193613,-0.7706735134124756,-2.2702767900000005,1258.0
147968,142,57,1257,0.05874592438340187,0.004569098,4608,0.2,-0.004253276536474004,-42.282246470451355,0.0004092704424510632,0.0098876953125,0.9513256549835205,0.7243084879592061,0.7325484752655029,-2.2702767900000005,1258.0
148480,143,58,1257,-0.026128552854061127,0.024079379,4624,0.2,-0.022446920454967767,-42.28209102153778,0.0004092704424510632,0.264892578125,0.9518378973007202,0.0034647985303308815,-2.389961004257202,-2.26675585,1258.0
148992,144,58,1257,0.06856758892536163,0.005566411,4640,0.2,-0.006067564463592134,-42.3004891872406,0.0004092704424510632,0.0059814453125,0.9520707726478577,0.7096113245934248,0.7569591403007507,-2.26675585,1258.0
149504,145,59,1257,-0.03458051383495331,0.01694351,4656,0.2,-0.02550372082623653,-42.30900323390961,0.0004092704424510632,0.2509765625,0.9525868892669678,0.005046673810284119,-1.3447866439819336,-2.26675585,1258.0
150016,146,59,1257,-0.030116351321339607,0.013094699,4672,0.2,-0.021684084553271532,-42.33818209171295,0.0004092704424510632,0.211669921875,0.9536921977996826,0.0046507777296938,0.00933218002319336,-2.2676098299999996,1258.0
150528,147,59,1257,0.04535568878054619,0.0070715155,4688,0.2,-0.0063767615356482565,-42.35563766956329,0.0004092704424510632,0.0213623046875,0.9538341760635376,0.6215452800970525,0.6699657440185547,-2.2676098299999996,1258.0
151040,1,0,4209,-0.04386885091662407,0.016648255,4704,0.2,-0.024541494829463772,-42.32617652416229,0.0004092704424510632,0.21826171875,0.9512733221054077,0.006733111142239068,-0.2626262903213501,-2.2636785,1258.0
151552,2,0,1943,0.09992919862270355,0.010101583,4720,0.2,-0.010682970445486717,-42.24674701690674,0.0004092704424510632,0.034912109375,0.9500555396080017,0.7502714712172747,0.7835473418235779,-2.2636785,1258.0
