time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/value_loss,train/n_updates,train/std,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/loss,train/approx_kl,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
24,1745,82,117248,0.004734585520054679,3648,0.9697385430335999,0.2,0.294677734375,-0.030551783682312816,-0.640169620513916,-42.86176645755768,-0.047404102981090546,0.017799117,0.0004092704424510632,1257.0,-2.435281053763441
24,1745,83,117760,1.052744675660506,3664,0.9703508615493774,0.2,0.0335693359375,-0.009387391743075568,0.38356661796569824,-42.902631998062134,0.0865454375743866,0.009732602,0.0004092704424510632,1257.0,-2.435281053763441
24,1745,84,118272,0.00812713464256376,3680,0.9712184071540833,0.2,0.3118896484375,-0.028471375349909067,-1.8216025829315186,-42.91931486129761,-0.030561374500393867,0.026099272,0.0004092704424510632,1257.0,-2.4349012234042555
24,1744,85,118784,1.0334636117331684,3696,0.971749484539032,0.2,0.03076171875,-0.007489285417250358,0.2769628167152405,-42.946993827819824,0.11915270239114761,0.007941937,0.0004092704424510632,1257.0,-2.4349012234042555
25,1743,86,119296,0.032465647091157734,3712,0.9704177379608154,0.2,0.292236328125,-0.03106274237507023,0.3715018630027771,-42.940178751945496,-0.03373733162879944,0.019543529,0.0004092704424510632,1257.0,-2.4349012234042555
25,1743,87,119808,0.56802698969841,3728,0.9698857069015503,0.2,0.16796875,-0.020809470472158864,0.41835302114486694,-42.903316497802734,0.23507604002952576,0.017326366,0.0004092704424510632,1257.0,-2.4343702631578945
25,1742,88,120320,0.2933111160527915,3744,0.9697948694229126,0.2,0.1063232421875,-0.016154699216713198,0.8835657835006714,-42.89855873584747,0.027954865247011185,0.019637235,0.0004092704424510632,1257.0,-2.4343702631578945
26,1742,89,120832,0.24003807036206126,3760,0.9701753258705139,0.2,0.1759033203125,-0.020784583508429932,-1.5142996311187744,-42.89737343788147,0.032424185425043106,0.030489696,0.0004092704424510632,1257.0,-2.43419225
26,1742,90,121344,0.6760761560872197,3776,0.9703567624092102,0.2,0.0401611328125,-0.011866626518894918,0.877426028251648,-42.91276264190674,0.23934689164161682,0.008669352,0.0004092704424510632,1257.0,-2.43419225
26,1742,91,121856,0.048428116366267204,3792,0.9703466892242432,0.2,0.23828125,-0.023457188333850354,0.03400617837905884,-42.90934121608734,-0.016951153054833412,0.017467774,0.0004092704424510632,1257.0,-2.43419225
27,1741,92,122368,0.3490683361887932,3808,0.9707323908805847,0.2,0.1318359375,-0.023645363078685477,0.7338936924934387,-42.903026700019836,0.12710325419902802,0.01854384,0.0004092704424510632,1257.0,-2.43467581443299
27,1741,93,122880,0.162709585390985,3824,0.9702770113945007,0.2,0.164794921875,-0.018675476108910516,0.9016814827919006,-42.907649517059326,0.007726885378360748,0.022758981,0.0004092704424510632,1257.0,-2.43467581443299
